Player,Span,Matches,Innings,NO,Runs,Highest Score,Average,100's,50's,0's
RL Vitas (SRB),2022-2022,9,6,4,82,37*,41,0,0,0
DGAPD Wiswi (INA),2024-2025,19,9,2,82,26*,11.71,0,0,0
EE Achong (WI),1930-1935,6,11,1,81,22,8.1,0,0,2
JH de Courcy (AUS),1953-1953,3,6,1,81,41,16.2,0,0,0
KHRK Fernando (SL),2002-2006,9,9,3,81,24,13.5,0,0,2
GN Francis (WI),1928-1933,10,18,4,81,19*,5.78,0,0,4
RA Hamence (AUS),1947-1948,3,4,1,81,30*,27,0,0,0
RGA Headley (WI),1973-1973,3,5,0,81,42,16.2,0,0,0
Jaweed Sadran (AUT),2021-2023,20,13,4,81,18*,9,0,0,1
D Kalvin (SEY),2021-2026,15,12,3,81,30,9,0,0,3
ET Killick (ENG),1929-1929,2,4,0,81,31,20.25,0,0,0
AE Knight (ENG),1904-1904,3,6,1,81,70*,16.2,0,1,3
M Kpaka (SLE),2021-2023,21,17,2,81,16*,5.4,0,0,4
IL Mendonca (WI),1962-1962,2,2,0,81,78,40.5,0,1,0
Mohammad Iqbal (CAN),2007-2008,8,8,0,81,30,10.12,0,0,1
Muhammad Soban (HUN),2025-2025,4,4,0,81,24,20.25,0,0,0
Naveen-ul-Haq (AFG),2016-2024,63,24,10,81,13,5.78,0,0,5
Noorkhan Ahmedi (SUI),2021-2024,10,7,0,81,32,11.57,0,0,1
Sajid Liaqat (GER),2019-2025,15,7,2,81,30*,16.2,0,0,0
S Sriram (IND),2000-2004,8,7,1,81,57,13.5,0,1,1
Jai P Yadav (IND),2002-2005,12,7,3,81,69,20.25,0,1,2
Yahya Suhail (TLS),2025-2025,8,8,1,81,53*,11.57,0,1,0
Ahsan Abbasi (HKG),2019-2019,6,6,0,80,18,13.33,0,0,0
Alexandros Karvelas (GRC),2022-2022,4,4,0,80,35,20,0,0,0
Ansh Tandon (UAE),2020-2023,10,8,1,80,34*,11.42,0,0,0
JE Barrett (AUS),1890-1890,2,4,1,80,67*,26.66,0,1,1
MJ Bennett (AUS),1984-1985,11,9,3,80,23,13.33,0,0,2
DAP Darrell (BER),2019-2019,11,10,1,80,30*,8.88,0,0,1
Faizan Asif (UAE),2014-2015,6,6,0,80,28,13.33,0,0,0
GC Galanis (GRC),2019-2024,14,11,3,80,19*,10,0,0,1
AEV Hartkopf (AUS),1925-1925,1,2,0,80,80,40,0,1,1
Jaspreet Singh (ITA),2019-2026,29,12,3,80,21,8.88,0,0,3
DB Loic (CAM),2021-2024,21,19,3,80,23*,5,0,0,4
Mohammad Irfan (PAK),2010-2019,86,44,27,80,14,4.7,0,0,10
RD Parkar (IND),1972-1973,2,4,0,80,35,20,0,0,0
PV Rarotoga (Samoa),2023-2023,3,3,0,80,56,26.66,0,1,0
PWE Rawson (ZIM),1983-1987,10,8,3,80,24*,16,0,0,1
DJ Sincock (AUS),1964-1966,3,4,1,80,29,26.66,0,0,0
A Wood (ENG),1938-1939,4,5,1,80,53,20,0,1,1
AJ Woodcock (AUS),1974-1974,2,2,0,80,53,40,0,1,0
NK Yadav (NEP),2025-2026,19,10,5,80,37,16,0,0,1
JB Abega (CAM),2021-2024,21,19,0,79,19,4.15,0,0,6
AC Dawson (SA),1998-2004,21,8,4,79,23*,19.75,0,0,0
P Khari (CZK-R),2023-2023,3,3,1,79,38*,39.5,0,0,0
R Kumar (ROM),2019-2024,15,8,2,79,32,13.16,0,0,2
SA Mohandas (HUN),2021-2025,32,16,10,79,26*,13.16,0,0,3
S Navaratne (JPN),2022-2023,8,8,1,79,21,11.28,0,0,2
JA Small (WI),1928-1930,3,6,0,79,52,13.16,0,1,2
M Whelan (GIBR),2022-2024,13,8,2,79,27,13.16,0,0,0
JC Balt (NAM),2024-2025,9,7,2,78,35*,15.6,0,0,3
CD Barnwell (WI),2011-2013,6,6,2,78,34*,19.5,0,0,1
A Fielder (ENG),1904-1908,6,12,5,78,20,11.14,0,0,0
R Gowthaman (SWE),2021-2021,5,5,0,78,29,15.6,0,0,0
M Hayward (SA),1998-2004,37,22,9,78,14,6,0,0,4
LU Igalagamage (SL),2023-2025,3,4,0,78,40,19.5,0,0,1
D Johnson (CAY),2022-2026,14,9,3,78,44,13,0,0,2
MN Lathwell (ENG),1993-1993,2,4,0,78,33,19.5,0,0,1
J Lewis (ENG),2005-2007,16,12,3,78,20,8.66,0,0,0
Muaviath Ganee (MDV),2019-2023,7,5,0,78,36,15.6,0,0,0
HS Nyakatawa (SWZ),2022-2022,6,6,0,78,29,13,0,0,0
R Ramadhasyena (INA),2025-2025,4,2,1,78,56*,78,0,1,0
JB Reva (PNG),2015-2019,18,11,1,78,36,7.8,0,0,1
Saleem Jaffar (PAK),1986-1992,53,27,17,78,10*,7.8,0,0,6
Syazrul Idrus (MAS),2019-2023,33,17,8,78,13*,8.66,0,0,4
R Telemachus (SA),1998-2007,40,16,4,78,29,6.5,0,0,2
MH Tissera (SL),1975-1975,3,3,0,78,52,26,0,1,0
V Aritharan (GER),2022-2024,4,4,2,77,45*,38.5,0,0,0
Arslan Basharat (HUN),2025-2025,4,4,0,77,54,19.25,0,1,0
Aslan Jafri (SGP),2025-2025,10,9,0,77,27,8.55,0,0,0
P Bhandari (IND),1955-1956,3,4,0,77,39,19.25,0,0,0
S Bodha (GIBR),2022-2024,29,13,5,77,25,9.62,0,0,1
JEA Doctora (PHI),2023-2025,14,12,3,77,28,8.55,0,0,3
A Greenwood (ENG),1877-1877,2,4,0,77,49,19.25,0,0,0
Luke Ward (IOM),2023-2025,7,7,3,77,17*,19.25,0,0,0
BK Majji (GHA),2026-2026,4,3,0,77,30,25.66,0,0,0
Mohammad Hasnain (PAK),2019-2025,43,18,14,77,28,19.25,0,0,1
DR Mousley (ENG),2024-2024,7,4,1,77,57,25.66,0,1,0
HV Patel (IND),2021-2023,25,10,4,77,18,12.83,0,0,1
JN Shepherd (WI),1969-1971,5,8,0,77,32,9.62,0,0,2
Swann Htet Ko Ko (MYAN),2023-2025,22,19,5,77,11,5.5,0,0,4
DCH Townsend (ENG),1935-1935,3,6,0,77,36,12.83,0,0,0
LL Tsotsobe (SA),2009-2014,89,29,17,77,16*,6.41,0,0,5
Yogev Nagavkar (ISR),2022-2024,5,5,0,77,39,15.4,0,0,1
Alam Nakash (SKOR),2022-2024,10,10,0,76,24,7.6,0,0,3
Amjad Mahboob (SGP),2019-2023,30,18,7,76,38,6.9,0,0,2
R Baruah (EST),2025-2025,7,7,3,76,48,19,0,0,1
GHG Doggart (ENG),1950-1950,2,4,0,76,29,19,0,0,1
B Dooland (AUS),1947-1948,3,5,1,76,29,19,0,0,0
A D'Souza (PAK),1959-1962,6,10,8,76,23*,38,0,0,0
MD du Preez (NAM),2021-2023,6,5,2,76,33*,25.33,0,0,0
AM Fernando (SL),2017-2026,61,47,25,76,11,3.45,0,0,14
Haider Ali (UAE),2025-2026,31,15,3,76,15*,6.33,0,0,2
V Jagannivasan (CZK-R),2021-2022,7,6,1,76,55,15.2,0,1,2
AL Kerai (SLE),2021-2021,9,9,1,76,24,9.5,0,0,3
PJ Loader (ENG),1954-1959,13,19,6,76,17,5.84,0,0,3
RA Mariu (NZ),2025-2025,2,2,0,76,58,38,0,1,0
LC Mayne (AUS),1965-1970,6,11,3,76,13,9.5,0,0,1
FFZ Nhaduate (MOZ),2023-2024,8,7,1,76,39,12.66,0,0,1
F Nicholson (SA),1935-1936,4,8,1,76,29,10.85,0,0,4
E Otieno (KENYA),2007-2022,57,30,13,76,11,4.47,0,0,7
RM Poore (SA),1896-1896,3,6,0,76,20,12.66,0,0,0
Virk Ali (Fran),2021-2021,4,4,1,76,52*,25.33,0,1,1
Zaheer Zahiri (Fran),2024-2026,13,9,6,76,34*,25.33,0,0,1
Akif Raja (UAE),2021-2025,28,8,4,75,28,18.75,0,0,1
DW Allan (WI),1962-1966,5,7,1,75,40*,12.5,0,0,0
MR Benson (ENG),1986-1986,2,3,0,75,30,25,0,0,0
H Donnan (AUS),1892-1896,5,10,1,75,15,8.33,0,0,1
MK Elgie (SA),1961-1962,3,6,0,75,56,12.5,0,1,2
LHB Harrington-Myers (CAY),2019-2022,9,8,3,75,22,15,0,0,1
B Isaac (STHEL),2022-2024,11,6,1,75,34,15,0,0,1
RL Johnson (ENG),2003-2003,13,8,1,75,26,10.71,0,0,1
Mohammed Jamadar (LES),2026-2026,5,5,0,75,31,15,0,0,0
Muhammad Murad (QAT),2021-2025,18,10,4,75,14*,12.5,0,0,1
FL Patel (PAN),2023-2025,9,8,0,75,32,9.37,0,0,1
S Santhirakumaran (Fran),2021-2023,6,6,0,75,34,12.5,0,0,1
Sikander Billah (BHR),2022-2022,7,6,2,75,33,18.75,0,0,1
K Sonavale (OMA),2024-2026,9,9,0,75,20,8.33,0,0,2
E Ul Haq (NOR),2019-2021,10,10,0,75,30,7.5,0,0,1
M Vivekanandan (MNG),2024-2024,13,12,0,75,25,6.25,0,0,4
JT Ward (NZ),1964-1968,8,12,6,75,35*,12.5,0,0,2
D Wilson (ENG),1964-1971,6,7,1,75,42,12.5,0,0,0
Zain Asif (BUL),2023-2023,4,3,0,75,43,25,0,0,0
Asad Mahmood (SUI),2021-2025,16,9,1,74,33,9.25,0,0,0
GS Bajwa (ESP),2025-2025,4,3,1,74,38*,37,0,0,0
JN Dorji (BHU),2019-2024,9,9,0,74,30,8.22,0,0,3
J Figy (UAE),2019-2025,4,4,1,74,32*,24.66,0,0,1
JER Gallian (ENG),1995-1995,3,6,0,74,28,12.33,0,0,2
P Hatchman (GIBR),2021-2023,13,10,2,74,22,9.25,0,0,0
Hirenkumar Patel (Chile),2019-2019,4,4,0,74,22,18.5,0,0,0
BP Martin (NZ),2013-2013,5,6,1,74,41,14.8,0,0,1
J Masquater (TAN),2024-2024,6,6,0,74,32,12.33,0,0,1
Myat Thu Aung (MYAN),2023-2025,22,12,5,74,18,10.57,0,0,0
Sapan Mehta (FIN),2022-2022,5,5,0,74,33,14.8,0,0,0
ET Willett (WI),1973-1975,5,8,3,74,26,14.8,0,0,2
JA Hayes (NZ),1951-1958,15,22,7,73,19,4.86,0,0,4
O Henry (SA),1992-1993,6,6,1,73,34,14.6,0,0,0
EB McSweeney (NZ),1986-1987,16,14,5,73,18*,8.11,0,0,2
WE Merritt (NZ),1930-1931,6,8,1,73,19,10.42,0,0,1
D Nanda (INA),2025-2025,6,5,2,73,31,24.33,0,0,1
AM Oyede (NGA),2019-2019,8,8,1,73,39,10.42,0,0,2
JT Partridge (SA),1963-1965,11,12,5,73,13*,10.42,0,0,0
Bilal Safdar (NOR),2021-2022,9,8,2,73,37*,12.16,0,0,0
GR Sealy (CAN),1979-1979,3,3,0,73,45,24.33,0,0,0
LA Simango (MOZ),2019-2022,21,12,6,73,18,12.16,0,0,0
RA Thomas (CAN),2019-2019,8,8,1,73,18,10.42,0,0,1
EWT Tindill (NZ),1937-1947,5,9,1,73,37*,9.12,0,0,1
ERH Toshack (AUS),1946-1948,12,11,6,73,20*,14.6,0,0,1
M Ozturk (TKY),2022-2024,12,10,1,73,21,8.11,0,0,1
DS Weerakkody (SL),2017-2017,3,3,0,73,58,24.33,0,1,0
Yousef Shadzehisarjou (Iran),2020-2020,3,3,0,73,39,24.33,0,0,0
G Blakeney (BER),2009-2009,2,2,0,72,42,36,0,0,0
Delroy Leo (STHEL),2024-2026,7,6,0,72,31,12,0,0,0
HE Dollery (ENG),1947-1950,4,7,0,72,37,10.28,0,0,2
AM Ghazanfar (AFG),2024-2025,20,10,1,72,31*,8,0,0,4
Hassan Khan (GER),2025-2025,6,6,2,72,51*,18,0,1,2
OJ Herrington (BEL),2025-2025,7,5,1,72,44*,18,0,0,0
NR Johns-Wickberg (SRB),2021-2023,19,11,4,72,24,10.28,0,0,0
PE Kruger (SA),2024-2024,7,5,1,72,44,18,0,0,0
NJ Maddinson (AUS),2013-2018,9,8,0,72,34,9,0,0,1
NA McSweeney (AUS),2024-2024,3,6,1,72,39,14.4,0,0,1
Mohmedazim Abbasbhai (Zamb),2025-2025,7,6,0,72,26,12,0,0,1
WJ Pucovski (AUS),2021-2021,1,2,0,72,62,36,0,1,0
TW Routledge (SA),1892-1896,4,8,0,72,24,9,0,0,1
S Samal (RWN),2021-2021,8,5,0,72,31,14.4,0,0,0
A Sanford (WI),2002-2004,11,17,2,72,18*,4.8,0,0,2
Saqlain Haider (UAE),2014-2016,11,9,1,72,28,9,0,0,0
RM West (IRE),2008-2009,15,8,3,72,29*,14.4,0,0,1
C Wickramasinghe (SL),2024-2025,7,6,3,72,22,24,0,0,0
AS Wright (GUE),2019-2019,8,7,0,72,43,10.28,0,0,1
EG Wynyard (ENG),1896-1906,3,6,0,72,30,12,0,0,2
Abdul Stanikzai (GER),2022-2022,5,5,0,71,24,14.2,0,0,1
WH Brann (SA),1922-1923,3,5,0,71,50,14.2,0,1,1
O Casasola (Blz),2024-2024,7,7,0,71,25,10.14,0,0,1
MT Diaby (Mali),2022-2023,10,9,0,71,31,7.88,0,0,2
Enamul Haque jnr (BAN),2003-2013,25,31,17,71,13,5.07,0,0,6
AHH Gilligan (ENG),1930-1930,4,4,0,71,32,17.75,0,0,0
F Hand (IRE),2022-2025,16,13,3,71,36,7.1,0,0,3
DD Hindlekar (IND),1936-1946,4,7,2,71,26,14.2,0,0,0
SP James (ENG),1998-1998,2,4,0,71,36,17.75,0,0,1
Jay Odedra (OMA),2019-2026,33,15,8,71,25*,10.14,0,0,4
MO Kain (USA),2021-2022,7,6,1,71,39*,14.2,0,0,2
Kapil Kumar (PHI),2022-2023,6,6,0,71,23,11.83,0,0,1
A Nanda (LUX),2019-2025,34,15,4,71,21*,6.45,0,0,2
RAP Nissanka (SL),2001-2003,27,18,7,71,12*,6.45,0,0,4
P Roy (IND),1982-1982,2,3,1,71,60*,35.5,0,1,0
Shamsullah Ehsan (TKY),2022-2024,8,8,0,71,39,8.87,0,0,1
GB Stevenson (ENG),1980-1981,6,6,4,71,28*,35.5,0,0,0
Vichanath Singh (THA),2019-2023,15,11,2,71,18,7.88,0,0,0
AW White (WI),1965-1965,2,4,1,71,57*,23.66,0,1,0
NK Aneesh Kumar (SUI),2021-2025,31,14,7,70,25,10,0,0,3
Awais Zia (PAK),2012-2014,5,5,0,70,23,14,0,0,0
R Beaumont (SA),1912-1914,5,9,0,70,31,7.77,0,0,2
KED Carroll (IRE),2007-2007,6,6,0,70,28,11.66,0,0,1
WJ Edwards (AUS),1974-1975,4,7,0,70,30,10,0,0,2
SJ French (Samoa),2025-2025,10,8,2,70,27,11.66,0,0,1
Gaurav Mishra (ROM),2022-2023,12,6,2,70,24,17.5,0,0,0
Hassnain Shah (OMA),2025-2026,11,7,2,70,42,14,0,0,2
LG Hylton (WI),1935-1939,6,8,2,70,19,11.66,0,0,0
Jakob Gul (BUL),2024-2025,13,9,0,70,18,7.77,0,0,2
JJC Lawson (WI),2001-2005,26,26,8,70,14,3.88,0,0,6
DAM Louis (QAT),2025-2026,14,9,3,70,17*,11.66,0,0,1
JN Maguire (AUS),1983-1984,26,16,6,70,15*,7,0,0,3
Muhammad Naeem (CAM),2025-2025,9,8,1,70,46*,10,0,0,2
FF Mulivai (Samoa),2019-2019,4,4,0,70,48,17.5,0,0,1
Natim Hassam (POR),2025-2026,6,4,1,70,28,23.33,0,0,0
GH O'Brien (BER),2006-2019,20,13,2,70,16,6.36,0,0,3
E Peate (ENG),1881-1886,9,14,8,70,13,11.66,0,0,1
Sikander Zulfiqar (NED),2016-2025,12,9,1,70,18,8.75,0,0,0
VA Singh (SUR),2024-2024,8,8,1,70,30,10,0,0,1
MJ Smith (ENG),1973-1974,5,5,0,70,31,14,0,0,1
GA Smithson (ENG),1948-1948,2,3,0,70,35,23.33,0,0,1
RD Steede (BER),2006-2008,8,7,1,70,20,11.66,0,0,0
Abubacarr Kuyateh (GMB),2022-2024,11,11,0,69,33,6.27,0,0,4
CM Akachukwu (NGA),2019-2021,15,10,4,69,30,11.5,0,0,1
T Amarmend (MNG),2024-2024,13,12,1,69,21*,6.27,0,0,5
Anas Khan (HKG),2014-2025,26,10,3,69,21*,9.85,0,0,5
S Bangera (ISR),2022-2024,8,8,0,69,23,8.62,0,0,1
AJ Bell (SA),1929-1935,16,23,12,69,26*,6.27,0,0,6
JJ Celestine (BER),2007-2008,11,11,0,69,20,6.27,0,0,2
SHM Colah (IND),1932-1933,2,4,0,69,31,17.25,0,0,0
B Fernando (SL),2015-2025,29,11,4,69,20,9.85,0,0,1
Hafez Farooq (Peru),2019-2019,4,4,0,69,24,17.25,0,0,0
C Hauptfleisch (CAY),2019-2019,5,5,0,69,42,13.8,0,0,1
Ibrarul Haq (KSA),2019-2019,5,4,0,69,49,17.25,0,0,1
J Linton (CAY),2022-2022,3,3,0,69,40,23,0,0,0
GBW Munaweera (QAT),2019-2024,29,12,8,69,22,17.25,0,0,1
A Nagarajan (QAT),2024-2025,8,6,1,69,28,13.8,0,0,0
OE Newey (GUE),2019-2022,10,7,1,69,23*,11.5,0,0,1
NV Ojha (IND),2010-2015,4,5,0,69,35,13.8,0,0,0
Raihan Hossain (TLS),2025-2025,8,8,0,69,19,8.62,0,0,0
Ravi Bishnoi (IND),2022-2026,45,15,8,69,10*,9.85,0,0,2
T Shamsi (SA),2016-2025,127,33,23,69,18*,6.9,0,0,8
S Shrivastava (OMA),2022-2025,32,12,8,69,22*,17.25,0,0,1
NI Thomson (ENG),1964-1965,5,4,1,69,39,23,0,0,1
AN Toube (CAM),2021-2024,22,20,0,69,19,3.45,0,0,6
J Umanath (MEX),2019-2025,9,8,1,69,25,9.85,0,0,2
BTJ Wheal (SCOT),2016-2026,44,17,8,69,24,7.66,0,0,4
Zafer Durmaz (TKY),2022-2025,8,8,1,69,49,9.85,0,0,5
JD Baker (Samoa),2019-2022,10,8,5,68,40*,22.66,0,0,1
FS Crockwell (BER),2009-2009,2,2,0,68,45,34,0,0,0
TL Cutler (VAN),2024-2024,11,6,3,68,34*,22.66,0,0,0
MADI Hemantha (SL),2023-2026,13,9,3,68,22,11.33,0,0,2
Jaswinder Singh (MLT),2023-2025,17,16,5,68,23*,6.18,0,0,2
P Jayeshbhai Patel (PAN),2019-2025,11,10,1,68,20,7.55,0,0,1
H Jupp (ENG),1877-1877,2,4,0,68,63,17,0,1,1
OC McCoy (WI),2018-2025,45,15,8,68,23*,9.71,0,0,2
M Mbangwa (ZIM),1996-2002,44,38,14,68,11,2.83,0,0,11
MG Melle (SA),1950-1953,7,12,4,68,17,8.5,0,0,1
WH Milton (SA),1889-1892,3,6,0,68,21,11.33,0,0,0
Parveen Kumar (CAN),2024-2025,15,8,1,68,23,9.71,0,0,2
AAA Patel (LES),2021-2022,8,7,0,68,28,9.71,0,0,1
M Sheikh (KENYA),1997-2000,21,15,5,68,15*,6.8,0,0,2
MA Sherry (SGP),2025-2025,8,7,1,68,24*,11.33,0,0,0
KA Vimlesh (ROM),2023-2025,6,6,4,68,39,34,0,0,0
DJ White (NZ),1990-1990,5,7,0,68,18,9.71,0,0,0
SG Davies (ZIM),1996-1996,4,4,0,67,45,16.75,0,0,0
LR Gaonkar (PAN),2023-2025,6,6,0,67,23,11.16,0,0,0
Akhil Kumar (CAN),2024-2025,19,11,5,67,15,11.16,0,0,1
T Lungameni (NAM),2019-2025,76,23,13,67,12*,6.7,0,0,2
MK Mantri (IND),1951-1955,4,8,1,67,39,9.57,0,0,2
A McKnight (),2025-2025,2,2,0,67,40,33.5,0,0,0
Meet Ahir (PAN),2025-2025,4,4,2,67,43*,33.5,0,0,0
HJC Mol (NED),2002-2008,15,10,1,67,23,7.44,0,0,3
JK Moss (AUS),1979-1979,2,3,1,67,38*,33.5,0,0,0
Muhammad Zafar Khan (TAN),2024-2024,5,5,2,67,24,22.33,0,0,0
Nazril Rahman (MAS),2019-2022,13,8,2,67,24*,11.16,0,0,1
AA Paradkar (USA),2021-2024,10,7,2,67,24,13.4,0,0,1
MW Sievers (AUS),1936-1937,3,6,1,67,25*,13.4,0,0,0
PM Such (ENG),1993-1999,11,16,5,67,14*,6.09,0,0,3
NFD Thomson (AUS),1877-1877,2,4,0,67,41,16.75,0,0,0
CV Wight (WI),1928-1930,2,4,1,67,23,22.33,0,0,0
Abraash Khan (CAN),2019-2019,7,4,0,66,22,16.5,0,0,0
Afaq Hussain (PAK),1961-1964,2,4,4,66,35*,-,0,0,0
Ahmed Wardak (GER),2019-2024,13,6,3,66,29,22,0,0,0
Akhtar Sarfraz (PAK),1997-1998,4,4,0,66,25,16.5,0,0,0
TV Badri Narayanan (CRC),2025-2026,10,10,2,66,19,8.25,0,0,1
N Brand (SA),2024-2024,2,4,0,66,34,16.5,0,0,0
AK Gokoel (SUR),2024-2026,13,10,2,66,34*,8.25,0,0,3
WS Lees (ENG),1906-1906,5,9,3,66,25*,11,0,0,0
Muhammad Wafiq (MAS),2019-2025,39,18,7,66,16*,6,0,0,5
WSLK Narayana (ISR),2024-2024,4,4,0,66,32,16.5,0,0,0
D Olivier (SA),2017-2024,18,21,10,66,15*,6,0,0,4
JSE Price (ENG),1964-1972,15,15,6,66,32,7.33,0,0,5
Rhys Burinaga (PHI),2024-2025,14,12,2,66,22,6.6,0,0,0
Sajid Khan Afridi (GRC),2024-2024,4,4,0,66,31,16.5,0,0,0
A Sarma (GER),2019-2021,5,4,0,66,28,16.5,0,0,0
AA Banner (Blz),2019-2021,9,7,0,65,28,9.28,0,0,1
JT Botten (SA),1965-1965,3,6,0,65,33,10.83,0,0,2
WR Cuttell (ENG),1899-1899,2,4,0,65,21,16.25,0,0,0
RM Edwards (WI),1968-1969,5,8,1,65,22,9.28,0,0,2
CW Henderson (SA),2001-2002,11,7,0,65,30,9.28,0,0,1
G Hoey (IRE),2024-2025,3,4,0,65,37,16.25,0,0,0
Iqbal Hussain (QAT),2019-2021,26,11,5,65,22*,10.83,0,0,3
RM Jariwala (USA),2022-2025,5,5,0,65,35,13,0,0,0
PL Mhambrey (IND),1996-1998,5,4,2,65,28,32.5,0,0,0
Mohamed Mahfooz (MDV),2019-2021,15,9,2,65,16,9.28,0,0,0
Nawazish Akhtar (KSA),2024-2025,11,8,4,65,18*,16.25,0,0,1
JD Nel (SCOT),2006-2010,29,15,10,65,13*,13,0,0,2
RG Petrie (NZ),1990-1991,12,8,3,65,21,13,0,0,1
Rupesh Singh (NEP),2025-2025,4,3,1,65,43*,32.5,0,0,0
Saeed Azad (PAK),1995-1996,4,4,0,65,31,16.25,0,0,0
Shoaib Khan jnr (PAK),2008-2008,4,4,0,65,50,16.25,0,1,1
SJ Staples (ENG),1928-1928,3,5,0,65,39,13,0,0,0
Vishal Sharma (NOR),2025-2025,9,8,0,65,23,8.12,0,0,2
AP Binns (WI),1953-1956,5,8,1,64,27,9.14,0,0,3
Ehsanul Haque (BAN),2002-2003,7,8,0,64,20,8,0,0,1
J Fernando (ROM),2025-2025,4,4,0,64,31,16,0,0,0
ERH Fuller (SA),1953-1958,7,9,1,64,17,8,0,0,2
EN Gay (ITA),2025-2025,3,3,0,64,50,21.33,0,1,0
JS Iggo (SGP),2025-2025,6,6,0,64,31,10.66,0,0,1
Imran Khan (POR),2019-2024,10,8,1,64,36,9.14,0,0,2
Irshad Mubbashar (KSA),2022-2022,5,4,0,64,21,16,0,0,0
Kashif Abbas (KSA),2023-2024,6,6,0,64,19,10.66,0,0,0
TJD Kelly (AUS),1877-1879,2,3,0,64,35,21.33,0,0,0
JH King (ENG),1909-1909,1,2,0,64,60,32,0,1,0
ER Mayne (AUS),1912-1921,4,4,1,64,25*,21.33,0,0,0
Mohsin Kamal (PAK),1984-1994,28,17,10,64,13*,9.14,0,0,1
Naved Ashraf (PAK),1998-2000,2,3,0,64,32,21.33,0,0,0
CB Roposo (MOZ),2022-2025,22,8,3,64,21,12.8,0,0,0
Sadeeq Khan (ROM),2019-2019,3,3,1,64,28,32,0,0,0
KF Semple (WI),1999-1999,7,6,0,64,23,10.66,0,0,0
D Sheeli (KUW),2019-2023,7,7,0,64,19,9.14,0,0,0
CR Suryawanshi (SGP),2019-2023,5,4,0,64,53,16,0,1,1
Usman Waheed (KUW),2019-2019,6,4,1,64,28*,21.33,0,0,1
R van Tonder (SA),2024-2024,2,4,0,64,32,16,0,0,1
PE Whitelaw (NZ),1933-1933,2,4,2,64,30,32,0,0,0
MP Biddappa (PHI),2019-2022,7,5,1,63,26,15.75,0,0,1
HRJ Charlwood (ENG),1877-1877,2,4,0,63,36,15.75,0,0,1
GWA Chubb (SA),1951-1951,5,9,3,63,15*,10.5,0,0,0
RO Hussain (SCOT),2006-2010,8,8,1,63,17,9,0,0,0
Imran Ismail (MOZ),2019-2019,7,7,0,63,17,9,0,0,0
CEL Jones (WI),1930-1935,4,7,0,63,19,9,0,0,0
P Kotoisuva (Fiji),2023-2024,10,9,2,63,28*,9,0,0,3
Mohammad Munaf (PAK),1959-1962,4,7,2,63,19,12.6,0,0,0
S Murari (CRC),2019-2026,18,14,3,63,16,5.72,0,0,3
NT Nyamhuri (ZIM),2024-2025,8,9,0,63,26,7,0,0,2
H Philipson (ENG),1892-1895,5,8,1,63,30,9,0,0,0
J Reb (SRB),2019-2023,8,8,0,63,19,7.87,0,0,0
EB Ringera (KENYA),2011-2024,36,14,4,63,21*,6.3,0,0,0
Shahzeb Afridi (QAT),2026-2026,5,5,3,63,35*,31.5,0,0,0
MQ Sheikh (SCOT),2008-2010,7,7,1,63,23,10.5,0,0,0
VA Singh (WI),2017-2017,3,6,0,63,32,10.5,0,0,0
S Thuraisingam (CAN),2003-2008,13,11,3,63,15,7.87,0,0,1
NS Asgarali (WI),1957-1957,2,4,0,62,29,15.5,0,0,1
SV Bahutule (IND),1997-2003,10,8,2,62,21*,10.33,0,0,2
S Bharratt (SUR),2026-2026,6,6,1,62,28,12.4,0,0,2
Hon.IFW Bligh (ENG),1882-1883,4,7,1,62,19,10.33,0,0,2
WP Bradburn (NZ),1964-1964,2,4,0,62,32,15.5,0,0,0
CGD Burger (SA),1958-1958,2,4,1,62,37*,20.66,0,0,0
PG Coman (NZ),1973-1974,3,3,0,62,38,20.66,0,0,1
ND Hirwani (IND),1988-1996,35,29,15,62,17,4.42,0,0,7
KW Hough (NZ),1959-1959,2,3,2,62,31*,62,0,0,0
Imran Haider (UAE),2016-2019,31,16,9,62,18*,8.85,0,0,3
S Jegannathan (INA),2025-2025,7,5,3,62,26*,31,0,0,0
K Joshi (AUT),2019-2021,8,5,2,62,32*,20.66,0,0,0
N Krishna (SEY),2021-2024,18,13,3,62,20,6.2,0,0,2
S Kushretha (LUX),2020-2024,13,8,1,62,28,8.85,0,0,1
NP Mayavo (ZIM),2023-2025,3,4,0,62,35,15.5,0,0,0
C Newberry (SA),1913-1914,4,8,0,62,16,7.75,0,0,1
Shaheedur Rahman (BAN),1986-1986,2,2,0,62,37,31,0,0,0
GH Smit (GUE),2023-2023,3,3,0,62,56,20.66,0,1,1
MJ Swepson (AUS),2018-2022,15,11,6,62,15*,12.4,0,0,1
Zaker Taqawi (SWE),2022-2024,16,12,4,62,17*,7.75,0,0,1
Azhar Saeed (UAE),1994-1996,7,7,0,61,32,8.71,0,0,1
Deng Jinqi (CHN),2023-2024,6,5,1,61,38,15.25,0,0,1
Dolar Mahmud (BAN),2008-2009,7,4,0,61,41,15.25,0,0,2
Harry Elliott (ENG),1928-1934,4,5,1,61,37*,15.25,0,0,0
Haseeb Ahsan (PAK),1958-1962,12,16,7,61,14,6.77,0,0,3
JD Love (ENG),1981-1981,3,3,0,61,43,20.33,0,0,0
DVD Madampage (SKOR),2025-2025,8,8,0,61,22,7.62,0,0,0
Mien Mehmood (POR),2019-2021,7,7,0,61,16,8.71,0,0,1
AE Moss (ENG),1954-1960,9,7,1,61,26,10.16,0,0,1
